id	page	change	old	new
C14	42 n.2	dash omitted; letter-spaced names	cfr. cap. XXXII. Hunc locum laudat Ibn Yūnus apud Caussin,	cfr. cap. XXXII. --- Hunc locum laudat {\addfontfeatures{LetterSpace=0.5} Ibn Yūnus} apud {\addfontfeatures{LetterSpace=0.5} Caussin},
C15	42 n.3	macron	depromptis, al-Battāni urbi	depromptis, al-Battānī urbi
C16	42 n.4	italic units as printed	$178^{\mathrm d}\,17^{\mathrm h}\,36^{\mathrm m}$	$178^{d}\,17^{h}\,36^{m}$
C17	42 n.5	italic units; dash omitted; letter-spaced name; italic Almag.	$365^{\mathrm d}\,5^{\mathrm h}\,46^{\mathrm m}\,24^{\mathrm s}$.⏎Ptolemaeus, Almag. III, 2	$365^{d}\,5^{h}\,46^{m}\,24^{s}$. ---⏎{\addfontfeatures{LetterSpace=0.5} Ptolemaeus}, {\itshape Almag.} III, 2
C18	42 n.5	unit is dies, not degrees; italic units	$365^\circ14'48''=⏎365^{\mathrm d}\,5^{\mathrm h}\,55^{\mathrm m}\,12^{\mathrm s}$	$365^{d}\,14'\,48''=⏎365^{d}\,5^{h}\,55^{m}\,12^{s}$
C19	42 n.5	italic units	$365^{\mathrm d}\,5^{\mathrm h}\,48^{\mathrm m}\,47^{\mathrm s}{,}33$	$365^{d}\,5^{h}\,48^{m}\,47^{s}{,}33$
C20	42 n.6	order sign; letter-spaced name	$31^{\mathrm{iv}}$.⏎Iam correxit Ed. Halley,	$31^{\mathrm{IV}}$.⏎Iam correxit Ed. {\addfontfeatures{LetterSpace=0.5} Halley},
C21	42 n.6	no closing parenthesis in print (kept as printed)	nr. 204, p. 916).}	nr. 204, p. 916.}
C22	42 n.7	folio 164 verso, not recto	164, r.--166, v.,⏎et 186, v.--189, r.}	164,v.--166,v.,⏎et 186,v.--189,r.}
C23	42 n.8	italic units	$8^{\mathrm m}48^{\mathrm s}\times15⏎=528^{\mathrm s}\times15	$8^{m}\,48^{s}\times15⏎=528^{s}\times15
U07	42 n.9	flag resolved: 30^IV and 42^VI; letter-spaced name	Codex male \U{U07}{$30^{[?]}$ et $42^{[?]}$};⏎Ptolemaeus III, 2	Codex male $30^{\mathrm{IV}}$ et $42^{\mathrm{VI}}$;⏎{\addfontfeatures{LetterSpace=0.5} Ptolemaeus} III, 2
C24	42 n.10	order signs; letter-spaced name	$55^{\mathrm v}$ et in codice⏎$50^{\mathrm v}$; Ptolemaeus⏎	$55^{\mathrm{V}}$ et in codice⏎$50^{\mathrm{V}}$; {\addfontfeatures{LetterSpace=0.5} Ptolemaeus}⏎
C25	43	italic apparatus letter	percurrere (a), quae	percurrere ({\itshape a}), quae
U08	43	flag resolved: PKLRMY as printed (confirmed by p. 44)	\U{U08}{PKLRMY}	PKLRMY
U09	43 n.2	flag resolved: no closing parenthesis in print (kept); italic Almag.	\NN{2}{Almag. III, 4 (ed. Halma t. I, p. 184--185.%⏎\textsuperscript{\texttt{[U09]}}}	\NN{2}{{\itshape Almag.} III, 4 (ed. Halma t. I, p. 184--185.}
C26	43 n.3	letter-spaced name	ut me Schiaparelli monet	ut me {\addfontfeatures{LetterSpace=0.5} Schiaparelli} monet
C27	43 n.4	italics and spacing inside guillemets as printed	«93 diebus et 14 horis aequinoctialibus, quae parum ad⏎deminutionem inclinant»; forte huic «parum minus» respondent	«~93 diebus et 14 horis aequinoctialibus, {\itshape quae parum ad⏎deminutionem inclinant}~»; forte huic «~parum minus~» respondent
