object_id	master_pdf_page	line_id	latex	role	disposition	arithmetic_recomputed	silent_correction	v003_reread	source_reread_evidence
AB01-PDF0082-body-L032-M01	82	AB01-PDF0082-body-L032	\frac{\cos\beta}{2R}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0082.png
AB01-PDF0082-body-L032-M02	82	AB01-PDF0082-body-L032	\frac{\cos\beta}{R}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0082.png
AB01-PDF0082-body-L033-M01	82	AB01-PDF0082-body-L033	\frac{1}{130}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0082.png
AB01-PDF0082-body-L033-M02	82	AB01-PDF0082-body-L033	\frac{1}{131}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0082.png
AB01-PDF0083-body-L009-M01	83	AB01-PDF0083-body-L009	365\frac{1}{4}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/math_other_09-12.png
AB01-PDF0083-body-L010-M01	83	AB01-PDF0083-body-L010	365\frac{1}{2}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/math_other_09-12.png
AB01-PDF0083-body-L011-M01	83	AB01-PDF0083-body-L011	27′\,6″\,\frac{1}{2}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/math_other_09-12.png
AB01-PDF0085-body-L002-M01	85	AB01-PDF0085-body-L002	1\,{}^1\!/_2	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0085.png
AB01-PDF0085-body-L002-M02	85	AB01-PDF0085-body-L002	{}^1\!/_{87}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0085.png
AB01-PDF0085-body-L003-M01	85	AB01-PDF0085-body-L003	{}^1\!/_{40}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0085.png
AB01-PDF0085-body-L003-M02	85	AB01-PDF0085-body-L003	{}^1\!/_{10}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0085.png
AB01-PDF0085-body-L003-M03	85	AB01-PDF0085-body-L003	{}^1\!/_{29680}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0085.png
AB01-PDF0085-body-L003-M04	85	AB01-PDF0085-body-L003	{}^1\!/_{29683}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0085.png
AB01-PDF0085-body-L013-M01	85	AB01-PDF0085-body-L013	56\,{}^3\!/_8	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0085.png
