master_pdf_page	anchor	owned	kind	role	disposition	source_sha256	physical_page_available	visual_review	transcription_file	primary_image_xref	primary_image_pixels	source_page_rect_pt	provider_marks_in_reader	open_notes
11	AB01-PDF0011	False	blank_or_binding	COPY_PROVENANCE	No intrinsic text; excluded from reader, recorded in topology	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit		91	[5140, 7392]	[0.0, 0.0, 616.7999877929688, 887.0399780273438]	False	[]
12	AB01-PDF0012	True	title	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0012.json	98	[5140, 7414]	[0.0, 0.0, 616.7999877929688, 889.6799926757812]	False	[]
13	AB01-PDF0013	True	imprint	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0013.json	105	[5140, 7402]	[0.0, 0.0, 616.7999877929688, 888.2400512695312]	False	[]
14	AB01-PDF0014	True	dedication	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0014.json	112	[5140, 7424]	[0.0, 0.0, 616.7999877929688, 890.8800048828125]	False	[]
15	AB01-PDF0015	True	intrinsic_blank_verso	NALLINO_APPARATUS	Owned blank explicitly disposed; no phantom transcription	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0015.json	119	[5140, 7406]	[0.0, 0.0, 616.7999877929688, 888.719970703125]	False	[]
16	AB01-PDF0016	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0016.json	126	[5140, 7398]	[0.0, 0.0, 616.7999877929688, 887.760009765625]	False	[]
17	AB01-PDF0017	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0017.json	133	[5140, 7440]	[0.0, 0.0, 616.7999877929688, 892.7999877929688]	False	[]
18	AB01-PDF0018	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0018.json	141	[5140, 7394]	[0.0, 0.0, 616.7999877929688, 887.280029296875]	False	"[""S01-U002""]"
19	AB01-PDF0019	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0019.json	148	[5140, 7396]	[0.0, 0.0, 616.7999877929688, 887.52001953125]	False	[]
20	AB01-PDF0020	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0020.json	155	[5140, 7414]	[0.0, 0.0, 616.7999877929688, 889.6799926757812]	False	[]
21	AB01-PDF0021	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0021.json	162	[5140, 7432]	[0.0, 0.0, 616.7999877929688, 891.8399658203125]	False	[]
22	AB01-PDF0022	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0022.json	169	[5140, 7390]	[0.0, 0.0, 616.7999877929688, 886.7999877929688]	False	"[""S01-U003""]"
23	AB01-PDF0023	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0023.json	176	[5140, 7380]	[0.0, 0.0, 616.7999877929688, 885.6000366210938]	False	[]
24	AB01-PDF0024	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0024.json	183	[5140, 7430]	[0.0, 0.0, 616.7999877929688, 891.5999755859375]	False	[]
25	AB01-PDF0025	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0025.json	190	[5140, 7394]	[0.0, 0.0, 616.7999877929688, 887.280029296875]	False	[]
26	AB01-PDF0026	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0026.json	197	[5140, 7402]	[0.0, 0.0, 616.7999877929688, 888.2400512695312]	False	[]
27	AB01-PDF0027	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0027.json	204	[5140, 7396]	[0.0, 0.0, 616.7999877929688, 887.52001953125]	False	[]
28	AB01-PDF0028	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0028.json	211	[5140, 7416]	[0.0, 0.0, 616.7999877929688, 889.9199829101562]	False	[]
29	AB01-PDF0029	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0029.json	218	[5140, 7408]	[0.0, 0.0, 616.7999877929688, 888.9599609375]	False	[]
30	AB01-PDF0030	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0030.json	225	[5140, 7440]	[0.0, 0.0, 616.7999877929688, 892.7999877929688]	False	[]
31	AB01-PDF0031	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0031.json	232	[5140, 7404]	[0.0, 0.0, 616.7999877929688, 888.47998046875]	False	[]
32	AB01-PDF0032	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0032.json	239	[5140, 7410]	[0.0, 0.0, 616.7999877929688, 889.2000122070312]	False	[]
33	AB01-PDF0033	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0033.json	247	[5140, 7410]	[0.0, 0.0, 616.7999877929688, 889.2000122070312]	False	[]
34	AB01-PDF0034	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0034.json	254	[5140, 7402]	[0.0, 0.0, 616.7999877929688, 888.2400512695312]	False	[]
35	AB01-PDF0035	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0035.json	261	[5140, 7456]	[0.0, 0.0, 616.7999877929688, 894.719970703125]	False	[]
36	AB01-PDF0036	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0036.json	268	[5140, 7384]	[0.0, 0.0, 616.7999877929688, 886.0799560546875]	False	[]
37	AB01-PDF0037	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0037.json	275	[5140, 7384]	[0.0, 0.0, 616.7999877929688, 886.0799560546875]	False	[]
38	AB01-PDF0038	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0038.json	282	[5140, 7388]	[0.0, 0.0, 616.7999877929688, 886.5599975585938]	False	[]
39	AB01-PDF0039	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0039.json	289	[5140, 7410]	[0.0, 0.0, 616.7999877929688, 889.2000122070312]	False	[]
40	AB01-PDF0040	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0040.json	296	[5140, 7414]	[0.0, 0.0, 616.7999877929688, 889.6799926757812]	False	"[""S01-U004"", ""S01-U005""]"
41	AB01-PDF0041	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0041.json	303	[5140, 7404]	[0.0, 0.0, 616.7999877929688, 888.47998046875]	False	[]
42	AB01-PDF0042	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0042.json	310	[5140, 7402]	[0.0, 0.0, 616.7999877929688, 888.2400512695312]	False	[]
43	AB01-PDF0043	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0043.json	317	[5140, 7374]	[0.0, 0.0, 616.7999877929688, 884.8800048828125]	False	[]
44	AB01-PDF0044	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0044.json	324	[5140, 7392]	[0.0, 0.0, 616.7999877929688, 887.0399780273438]	False	[]
45	AB01-PDF0045	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0045.json	331	[5140, 7402]	[0.0, 0.0, 616.7999877929688, 888.2400512695312]	False	[]
46	AB01-PDF0046	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0046.json	338	[5140, 7402]	[0.0, 0.0, 616.7999877929688, 888.2400512695312]	False	[]
47	AB01-PDF0047	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0047.json	345	[5140, 7392]	[0.0, 0.0, 616.7999877929688, 887.0399780273438]	False	[]
48	AB01-PDF0048	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0048.json	353	[5140, 7394]	[0.0, 0.0, 616.7999877929688, 887.280029296875]	False	[]
49	AB01-PDF0049	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0049.json	360	[5140, 7396]	[0.0, 0.0, 616.7999877929688, 887.52001953125]	False	[]
50	AB01-PDF0050	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0050.json	367	[5140, 7386]	[0.0, 0.0, 616.7999877929688, 886.3200073242188]	False	[]
51	AB01-PDF0051	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0051.json	374	[5140, 7428]	[0.0, 0.0, 616.7999877929688, 891.3599853515625]	False	[]
52	AB01-PDF0052	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0052.json	381	[5140, 7420]	[0.0, 0.0, 616.7999877929688, 890.4000244140625]	False	[]
53	AB01-PDF0053	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0053.json	388	[5140, 7394]	[0.0, 0.0, 616.7999877929688, 887.280029296875]	False	[]
54	AB01-PDF0054	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0054.json	395	[5140, 7414]	[0.0, 0.0, 616.7999877929688, 889.6799926757812]	False	[]
55	AB01-PDF0055	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0055.json	402	[5140, 7380]	[0.0, 0.0, 616.7999877929688, 885.6000366210938]	False	[]
56	AB01-PDF0056	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0056.json	409	[5140, 7386]	[0.0, 0.0, 616.7999877929688, 886.3200073242188]	False	"[""S01-U006""]"
57	AB01-PDF0057	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0057.json	416	[5140, 7388]	[0.0, 0.0, 616.7999877929688, 886.5599975585938]	False	[]
58	AB01-PDF0058	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0058.json	423	[5140, 7402]	[0.0, 0.0, 616.7999877929688, 888.2400512695312]	False	[]
59	AB01-PDF0059	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0059.json	430	[5140, 7378]	[0.0, 0.0, 616.7999877929688, 885.3600463867188]	False	[]
60	AB01-PDF0060	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0060.json	437	[5140, 7388]	[0.0, 0.0, 616.7999877929688, 886.5599975585938]	False	[]
61	AB01-PDF0061	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0061.json	445	[5140, 7376]	[0.0, 0.0, 616.7999877929688, 885.1199951171875]	False	[]
62	AB01-PDF0062	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0062.json	452	[5140, 7394]	[0.0, 0.0, 616.7999877929688, 887.280029296875]	False	[]
63	AB01-PDF0063	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0063.json	460	[5140, 7458]	[0.0, 0.0, 616.7999877929688, 894.9600219726562]	False	[]
64	AB01-PDF0064	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0064.json	467	[5140, 7384]	[0.0, 0.0, 616.7999877929688, 886.0799560546875]	False	[]
65	AB01-PDF0065	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0065.json	474	[5140, 7460]	[0.0, 0.0, 616.7999877929688, 895.2000122070312]	False	[]
66	AB01-PDF0066	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0066.json	481	[5140, 7388]	[0.0, 0.0, 616.7999877929688, 886.5599975585938]	False	[]
67	AB01-PDF0067	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0067.json	489	[5140, 7458]	[0.0, 0.0, 616.7999877929688, 894.9600219726562]	False	[]
68	AB01-PDF0068	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0068.json	496	[5140, 7384]	[0.0, 0.0, 616.7999877929688, 886.0799560546875]	False	[]
69	AB01-PDF0069	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0069.json	503	[5140, 7460]	[0.0, 0.0, 616.7999877929688, 895.2000122070312]	False	[]
70	AB01-PDF0070	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0070.json	510	[5140, 7388]	[0.0, 0.0, 616.7999877929688, 886.5599975585938]	False	"[""S01-U007"", ""S01-U008""]"
71	AB01-PDF0071	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0071.json	517	[5140, 7452]	[0.0, 0.0, 616.7999877929688, 894.239990234375]	False	[]
72	AB01-PDF0072	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0072.json	524	[5140, 7406]	[0.0, 0.0, 616.7999877929688, 888.719970703125]	False	[]
73	AB01-PDF0073	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0073.json	531	[5140, 7458]	[0.0, 0.0, 616.7999877929688, 894.9600219726562]	False	[]
74	AB01-PDF0074	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0074.json	538	[5140, 7382]	[0.0, 0.0, 616.7999877929688, 885.8399658203125]	False	[]
75	AB01-PDF0075	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0075.json	545	[5140, 7462]	[0.0, 0.0, 616.7999877929688, 895.4400024414062]	False	[]
76	AB01-PDF0076	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0076.json	552	[5140, 7384]	[0.0, 0.0, 616.7999877929688, 886.0799560546875]	False	[]
77	AB01-PDF0077	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0077.json	559	[5140, 7460]	[0.0, 0.0, 616.7999877929688, 895.2000122070312]	False	[]
78	AB01-PDF0078	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0078.json	566	[2570, 3700]	[0.0, 0.0, 616.7999877929688, 888.0]	False	[]
