latin_anchor	latin_printed_page	printed_arabic_page_reference	target_logical_id	basis	physical_target_map	arabic_canonical_checkpoint	arabic_source_collation
AB01-PDF0098	9	14	AB01-PARSIII-PRINT0014	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0099	10	15	AB01-PARSIII-PRINT0015	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0100	11	16	AB01-PARSIII-PRINT0016	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0100	11	17	AB01-PARSIII-PRINT0017	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0101	12	18	AB01-PARSIII-PRINT0018	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0101	12	19	AB01-PARSIII-PRINT0019	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0102	13	20	AB01-PARSIII-PRINT0020	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0103	14	21	AB01-PARSIII-PRINT0021	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0103	14	22	AB01-PARSIII-PRINT0022	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0104	15	23	AB01-PARSIII-PRINT0023	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0105	16	24	AB01-PARSIII-PRINT0024	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0105	16	25	AB01-PARSIII-PRINT0025	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0106	17	26	AB01-PARSIII-PRINT0026	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0107	18	27	AB01-PARSIII-PRINT0027	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0108	19	28	AB01-PARSIII-PRINT0028	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0109	20	29	AB01-PARSIII-PRINT0029	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0110	21	30	AB01-PARSIII-PRINT0030	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0110	21	31	AB01-PARSIII-PRINT0031	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0111	22	32	AB01-PARSIII-PRINT0032	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0111	22	33	AB01-PARSIII-PRINT0033	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0112	23	34	AB01-PARSIII-PRINT0034	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0113	24	35	AB01-PARSIII-PRINT0035	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0113	24	36	AB01-PARSIII-PRINT0036	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0114	25	37	AB01-PARSIII-PRINT0037	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0115	26	38	AB01-PARSIII-PRINT0038	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0116	27	39	AB01-PARSIII-PRINT0039	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0116	27	40	AB01-PARSIII-PRINT0040	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0117	28	41	AB01-PARSIII-PRINT0041	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0117	28	42	AB01-PARSIII-PRINT0042	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0118	29	43	AB01-PARSIII-PRINT0043	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0118	29	44	AB01-PARSIII-PRINT0044	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0119	30	45	AB01-PARSIII-PRINT0045	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
