id	source_line_anchor	master_pdf_page	printed_page	role	tex	status	note
AB01-PDF0099-body-L016-M01	AB01-PDF0099-body-L016	99	10	NALLINO_TRANSLATION	\frac{3}{4}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0099-body-L016-M02	AB01-PDF0099-body-L016	99	10	NALLINO_TRANSLATION	\frac{4}{3}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0099-body-L016-M03	AB01-PDF0099-body-L016	99	10	NALLINO_TRANSLATION	\frac{3}{4}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0099-body-L036-M01	AB01-PDF0099-body-L036	99	10	NALLINO_TRANSLATION	60°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0099-body-L036-M02	AB01-PDF0099-body-L036	99	10	NALLINO_TRANSLATION	30°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0099-body-L036-M03	AB01-PDF0099-body-L036	99	10	NALLINO_TRANSLATION	120°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0099-body-L037-M01	AB01-PDF0099-body-L037	99	10	NALLINO_TRANSLATION	60°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0099-body-L037-M02	AB01-PDF0099-body-L037	99	10	NALLINO_TRANSLATION	180°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0099-body-L038-M01	AB01-PDF0099-body-L038	99	10	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L006-M01	AB01-PDF0100-body-L006	100	11	NALLINO_TRANSLATION	30′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L025-M01	AB01-PDF0100-body-L025	100	11	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L025-M02	AB01-PDF0100-body-L025	100	11	NALLINO_TRANSLATION	60^{p}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L026-M01	AB01-PDF0100-body-L026	100	11	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L027-M01	AB01-PDF0100-body-L027	100	11	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L028-M01	AB01-PDF0100-body-L028	100	11	NALLINO_TRANSLATION	60^{p}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L028-M02	AB01-PDF0100-body-L028	100	11	NALLINO_TRANSLATION	60^{p}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L029-M01	AB01-PDF0100-body-L029	100	11	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L030-M01	AB01-PDF0100-body-L030	100	11	NALLINO_TRANSLATION	60^{p}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L030-M02	AB01-PDF0100-body-L030	100	11	NALLINO_TRANSLATION	60^{p}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L031-M01	AB01-PDF0100-body-L031	100	11	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L033-M01	AB01-PDF0100-body-L033	100	11	NALLINO_TRANSLATION	1°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L033-M02	AB01-PDF0100-body-L033	100	11	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L033-M03	AB01-PDF0100-body-L033	100	11	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L033-M04	AB01-PDF0100-body-L033	100	11	NALLINO_TRANSLATION	180°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L033-M05	AB01-PDF0100-body-L033	100	11	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L034-M01	AB01-PDF0100-body-L034	100	11	NALLINO_TRANSLATION	1°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L035-M01	AB01-PDF0100-body-L035	100	11	NALLINO_TRANSLATION	1°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L035-M02	AB01-PDF0100-body-L035	100	11	NALLINO_TRANSLATION	180°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L036-M01	AB01-PDF0100-body-L036	100	11	NALLINO_TRANSLATION	180°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L036-M02	AB01-PDF0100-body-L036	100	11	NALLINO_TRANSLATION	1°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0100-body-L042-M01	AB01-PDF0100-body-L042	100	11	NALLINO_TRANSLATION	30^{p}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L011-M01	AB01-PDF0101-body-L011	101	12	NALLINO_TRANSLATION	47°\,42′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L012-M01	AB01-PDF0101-body-L012	101	12	NALLINO_TRANSLATION	23°\,51′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L016-M01	AB01-PDF0101-body-L016	101	12	NALLINO_TRANSLATION	12°\,26′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L016-M02	AB01-PDF0101-body-L016	101	12	NALLINO_TRANSLATION	59°\,36′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L017-M01	AB01-PDF0101-body-L017	101	12	NALLINO_TRANSLATION	47°\,10′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L017-M02	AB01-PDF0101-body-L017	101	12	NALLINO_TRANSLATION	23°\,35′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L024-M01	AB01-PDF0101-body-L024	101	12	NALLINO_TRANSLATION	23°\,35′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L027-M01	AB01-PDF0101-body-L027	101	12	NALLINO_TRANSLATION	60^{p}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L030-M01	AB01-PDF0101-body-L030	101	12	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L031-M01	AB01-PDF0101-body-L031	101	12	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L031-M02	AB01-PDF0101-body-L031	101	12	NALLINO_TRANSLATION	180°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L031-M03	AB01-PDF0101-body-L031	101	12	NALLINO_TRANSLATION	270°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L031-M04	AB01-PDF0101-body-L031	101	12	NALLINO_TRANSLATION	360°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L032-M01	AB01-PDF0101-body-L032	101	12	NALLINO_TRANSLATION	180°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L032-M02	AB01-PDF0101-body-L032	101	12	NALLINO_TRANSLATION	270°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L033-M01	AB01-PDF0101-body-L033	101	12	NALLINO_TRANSLATION	1°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L034-M01	AB01-PDF0101-body-L034	101	12	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-body-L034-M02	AB01-PDF0101-body-L034	101	12	NALLINO_TRANSLATION	180°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-notes_left-L002-M01	AB01-PDF0101-notes_left-L002	101	12	NALLINO_APPARATUS	47°\,\frac{2}{3}<2\varepsilon<47°\,\frac{3}{4}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-notes_left-L003-M01	AB01-PDF0101-notes_left-L003	101	12	NALLINO_APPARATUS	\varepsilon=23°\,51′\,20″	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-notes_right-L002-M01	AB01-PDF0101-notes_right-L002	101	12	NALLINO_APPARATUS	36°\,1′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0101-notes_right-L003-M01	AB01-PDF0101-notes_right-L003	101	12	NALLINO_APPARATUS	\frac{12°\,26′+\text{\sourceglyph{AB01-PDF0101-G01}}}{2}=\frac{72°\,2′}{2}=36°\,1′.	SOURCE_READ_IMAGE_COMPONENT	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L001-M01	AB01-PDF0102-body-L001	102	13	NALLINO_TRANSLATION	180°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L001-M02	AB01-PDF0102-body-L001	102	13	NALLINO_TRANSLATION	360°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L014-M01	AB01-PDF0102-body-L014	102	13	NALLINO_TRANSLATION	1°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L014-M02	AB01-PDF0102-body-L014	102	13	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L014-M03	AB01-PDF0102-body-L014	102	13	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L015-M01	AB01-PDF0102-body-L015	102	13	NALLINO_TRANSLATION	180°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L015-M02	AB01-PDF0102-body-L015	102	13	NALLINO_TRANSLATION	180°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L015-M03	AB01-PDF0102-body-L015	102	13	NALLINO_TRANSLATION	270°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L016-M01	AB01-PDF0102-body-L016	102	13	NALLINO_TRANSLATION	270°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L016-M02	AB01-PDF0102-body-L016	102	13	NALLINO_TRANSLATION	360°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L017-M01	AB01-PDF0102-body-L017	102	13	NALLINO_TRANSLATION	0°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L017-M02	AB01-PDF0102-body-L017	102	13	NALLINO_TRANSLATION	180°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L018-M01	AB01-PDF0102-body-L018	102	13	NALLINO_TRANSLATION	180°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L018-M02	AB01-PDF0102-body-L018	102	13	NALLINO_TRANSLATION	360°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L022-M01	AB01-PDF0102-body-L022	102	13	NALLINO_TRANSLATION	15°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L023-M01	AB01-PDF0102-body-L023	102	13	NALLINO_TRANSLATION	15°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L035-M01	AB01-PDF0102-body-L035	102	13	NALLINO_TRANSLATION	23°\,35′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-body-L035-M02	AB01-PDF0102-body-L035	102	13	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0102-notes_left-L006-M01	AB01-PDF0102-notes_left-L006	102	13	NALLINO_APPARATUS	15°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0103-body-L001-M01	AB01-PDF0103-body-L001	103	14	NALLINO_TRANSLATION	60^{p}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0103-body-L004-M01	AB01-PDF0103-body-L004	103	14	NALLINO_TRANSLATION	60°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0103-body-L006-M01	AB01-PDF0103-body-L006	103	14	NALLINO_TRANSLATION	90°	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0104-body-L038-M01	AB01-PDF0104-body-L038	104	15	NALLINO_TRANSLATION	66°\,25′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0105-notes_right-L001-M01	AB01-PDF0105-notes_right-L001	105	16	NALLINO_APPARATUS	69°\frac12	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0105-notes_right-L004-M01	AB01-PDF0105-notes_right-L004	105	16	NALLINO_APPARATUS	78°\frac13	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0108-body-L021-M01	AB01-PDF0108-body-L021	108	19	NALLINO_TRANSLATION	\frac{11}{12}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0111-notes_left-L001-M01	AB01-PDF0111-notes_left-L001	111	22	NALLINO_APPARATUS	=12^p	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0111-notes_left-L001-M02	AB01-PDF0111-notes_left-L001	111	22	NALLINO_APPARATUS	=60^p	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0115-body-L032-M01	AB01-PDF0115-body-L032	115	26	NALLINO_TRANSLATION	30^p	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0115-body-L033-M01	AB01-PDF0115-body-L033	115	26	NALLINO_TRANSLATION	58^p\thinspace31′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0115-body-L033-M02	AB01-PDF0115-body-L033	115	26	NALLINO_TRANSLATION	1755^p\thinspace30′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0115-body-L034-M01	AB01-PDF0115-body-L034	115	26	NALLINO_TRANSLATION	13^p\thinspace17′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0115-body-L035-M01	AB01-PDF0115-body-L035	115	26	NALLINO_TRANSLATION	43^p\thinspace17′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0115-body-L035-M02	AB01-PDF0115-body-L035	115	26	NALLINO_TRANSLATION	1755^p\thinspace30′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0115-body-L036-M01	AB01-PDF0115-body-L036	115	26	NALLINO_TRANSLATION	40^p\thinspace33′	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0115-notes_right-L002-M01	AB01-PDF0115-notes_right-L002	115	26	NALLINO_APPARATUS	\text{EM}=\frac{30^p\times58^p31′}{43^p17′}=\frac{1755^p30′}{43^p17′}=\frac{105330′}{2597′}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0115-notes_right-L003-M01	AB01-PDF0115-notes_right-L003	115	26	NALLINO_APPARATUS	=40^p33′29″.	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
