anchor	master_pdf_page	printed_page	source_present	state	transcription_path	reader_page	roles	provider_matter	verification	note
AB01-PDF0104	104	15	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0104.json	16	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0105	105	16	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0105.json	17	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	Printed first latitude 78°23′ differs from repeated 78°28′; both retained, not harmonized. Source page ends umbrae and next begins brae; seam preserved.
AB01-PDF0106	106	17	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0106.json	18	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	Printed p.230 in note3 has an apparent copy-specific strike; underlying printed numeral retained. Page-opening brae retained at physical seam.
AB01-PDF0107	107	18	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0107.json	19	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	Arabic corrupt spelling at note11 is an image object; no semantic identification imported into the diplomatic text. Historical competing numerical readings retained in notes.
AB01-PDF0108	108	19	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0108.json	20	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0109	109	20	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0109.json	21	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	The printed spelling punti is retained; no normalization to puncti. Brackets around [Sed] and [Figurae Terrae] kept separately.
AB01-PDF0110	110	21	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0110.json	22	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0111	111	22	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0111.json	23	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0112	112	23	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0112.json	24	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0113	113	24	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0113.json	25	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0114	114	25	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0114.json	26	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0115	115	26	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0115.json	27	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0116	116	27	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0116.json	28	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0117	117	28	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0117.json	29	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0118	118	29	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0118.json	30	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0119	119	30	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0119.json	31	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0120	120	31	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	Preview only, not transcription.
AB01-PDF0121	121	32	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	Preview only, not transcription.
AB01-PDF0122	122	33	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	Preview only, not transcription.
AB01-PDF0123	123	34	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0124	124	35	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0125	125	36	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0126	126	37	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0127	127	38	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0128	128	39	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0129	129	40	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0130	130	41	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0131	131	42	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0132	132	43	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0133	133	44	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0134	134	45	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0135	135	46	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0136	136	47	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0137	137	48	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0138	138	49	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0139	139	50	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0140	140	51	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0141	141	52	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0142	142	53	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0143	143	54	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0144	144	55	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0145	145	56	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0146	146	57	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0147	147	58	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0148	148	59	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0149	149	60	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0150	150	61	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0151	151	62	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0152	152	63	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0153	153	64	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0154	154	65	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0155	155	66	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0156	156	67	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0157	157	68	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0158	158	69	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0159	159	70	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0160	160	71	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0161	161	72	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0162	162	73	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0163	163	74	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0164	164	75	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0165	165	76	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0166	166	77	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0167	167	78	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0168	168	79	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0169	169	80	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0170	170	81	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0171	171	82	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0172	172	83	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0173	173	84	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0174	174	85	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0175	175	86	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0176	176	87	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0177	177	88	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0178	178	89	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0179	179	90	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0180	180	91	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0181	181	92	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0182	182	93	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0183	183	94	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0184	184	95	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0185	185	96	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0186	186	97	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0187	187	98	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0188	188	99	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0189	189	100	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0190	190	101	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0191	191	102	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0192	192	103	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0193	193	104	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0194	194	105	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0195	195	106	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0196	196	107	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0197	197	108	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
AB01-PDF0198	198	109	True	NOT_TRANSCRIBED			NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	No transcription claim	
