anchor	master_pdf_page	reading	disposition
AB01-PDF0100-margins-L003	100	5; 10; 15; 20; 25; 30; 35; 40.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0101-margins-L001	101	p. 18.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0101-margins-L002	101	p. 19.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0101-margins-L003	101	5; 10; 15; 20; 25; 30; 35.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0102-margins-L001	102	p. 20.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0102-margins-L002	102	5; 10; 15; 20; 25; 30; 35; 40.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0103-margins-L001	103	p. 21.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0103-margins-L002	103	p. 22.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0103-margins-L003	103	5; 10; 15; 20; 25; 30; 35.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0104-margins-L001	104	p. 23.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0104-margins-L002	104	5; 10; 15; 20; 25; 30; 35; 40.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0105-margins-L001	105	p. 24.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0105-margins-L002	105	p. 25.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0105-margins-L003	105	5; 10; 15; 20; 25; 30; 35; 40	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0106-margins-L001	106	p. 26.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0106-margins-L002	106	5; 10; 15; 20; 25; 30; 35	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0106-margins-L003	106	Signature: 3	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0107-margins-L001	107	p. 27.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0107-margins-L002	107	5; 10; 15; 20; 25	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0108-margins-L001	108	p. 28.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0108-margins-L002	108	5; 10; 15; 20; 25; 30; 35	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0109-margins-L001	109	p. 29.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0109-margins-L002	109	5; 10; 15; 20; 25; 30; 35; 40	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0110-margins-L001	110	p. 30.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0110-margins-L002	110	p. 31.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0110-margins-L003	110	5; 10; 15; 20; 25; 30; 35; 40	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0111-margins-L001	111	p. 32.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0111-margins-L002	111	p. 33.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0111-margins-L003	111	5; 10; 15; 20; 25; 30; 35; 40	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0112-margins-L001	112	p. 34.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0112-margins-L002	112	5; 10; 15; 20; 25; 30; 35; 40	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0113-margins-L001	113	p. 35.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0113-margins-L002	113	p. 36.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0113-margins-L003	113	5; 10; 15; 20; 25; 30; 35; 40	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0114-margins-L001	114	p. 37.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0114-margins-L002	114	5; 10; 15; 20; 25; 30; 35; 40	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0114-margins-L003	114	Signature: 4	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0115-margins-L001	115	p. 38.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0115-margins-L002	115	5; 10; 15; 20; 25; 30; 35	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0116-margins-L001	116	p. 39.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0116-margins-L002	116	p. 40.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0116-margins-L003	116	5; 10; 15; 20; 25; 30; 35; 40	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0117-margins-L001	117	p. 41.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0117-margins-L002	117	p. 42.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0117-margins-L003	117	5; 10; 15; 20; 25; 30; 35	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0118-margins-L001	118	p. 43.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0118-margins-L002	118	p. 44.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0118-margins-L003	118	5; 10; 15; 20; 25; 30; 35; 40	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0119-margins-L001	119	p. 45.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0119-margins-L002	119	5; 10; 15; 20; 25; 30; 35; 40	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
